SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,REGION
EUNOIA JUNIOR COLLEGE,2,SIN MING PLACE,EUNOIA JUNIOR COLLEGE,2 SIN MING PLACE EUNOIA JUNIOR COLLEGE SINGAPORE 573838,573838,28797.42841,38278.79128,1.362454301,103.840484,103.840484,CENTRAL
NATIONAL JUNIOR COLLEGE,37,HILLCREST ROAD,NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD NATIONAL JUNIOR COLLEGE SINGAPORE 288913,288913,24788.19464,34737.71738,1.330429928,103.8044587,103.8044587,CENTRAL
NATIONAL JUNIOR COLLEGE BOARDING SCHOOL,41,HILLCREST ROAD,NATIONAL JUNIOR COLLEGE BOARDING SCHOOL,41 HILLCREST ROAD NATIONAL JUNIOR COLLEGE BOARDING SCHOOL SINGAPORE 288916,288916,24804.97233,34906.69109,1.331958068,103.8046095,103.8046095,CENTRAL
VICTORIA JUNIOR COLLEGE,20,MARINE VISTA,VICTORIA JUNIOR COLLEGE,20 MARINE VISTA VICTORIA JUNIOR COLLEGE SINGAPORE 449035,449035,37594.65482,32005.34113,1.305717965,103.919531,103.919531,CENTRAL
YISHUN INNOVA JUNIOR COLLEGE,3,YISHUN RING ROAD,YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD YISHUN INNOVA JUNIOR COLLEGE SINGAPORE 768675,768675,27590.00052,45152.63065,1.424618845,103.8296344,103.8296344,NORTH
ANGLO-CHINESE JUNIOR COLLEGE,25,DOVER CLOSE EAST,ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST ANGLO-CHINESE JUNIOR COLLEGE SINGAPORE 139745,139745,22651.84865,31736.52963,1.303287954,103.785263,103.785263,CENTRAL
JURONG PIONEER JUNIOR COLLEGE,21,TECK WHYE WALK,JURONG PIONEER JUNIOR COLLEGE,21 TECK WHYE WALK JURONG PIONEER JUNIOR COLLEGE SINGAPORE 688258,688258,19165.37556,40728.74623,1.384609491,103.7539328,103.7539328,WEST
SAINT ANDREW'S JUNIOR COLLEGE,5,SORBY ADAMS DRIVE,SAINT ANDREW'S JUNIOR COLLEGE,5 SORBY ADAMS DRIVE SAINT ANDREW'S JUNIOR COLLEGE SINGAPORE 357691,357691,31356.79431,34998.56084,1.332788888,103.8634813,103.8634813,CENTRAL
DBS RAFFLES JUNIOR COLLEGE,10,BISHAN STREET 21,DBS RAFFLES JUNIOR COLLEGE,10 BISHAN STREET 21 DBS RAFFLES JUNIOR COLLEGE SINGAPORE 574013,574013,28918.60059,36471.7188,1.346111778,103.8415728,103.8415728,CENTRAL
ANDERSON SERANGOON JUNIOR COLLEGE,4500,ANG MO KIO AVENUE 6,ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6 ANDERSON SERANGOON JUNIOR COLLEGE SINGAPORE 569843,569843,29398.5933,40041.62417,1.37839671,103.845886,103.845886,NORTH-EAST
CATHOLIC JUNIOR COLLEGE,129,WHITLEY ROAD,CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD CATHOLIC JUNIOR COLLEGE SINGAPORE 297822,297822,28248.49376,34098.44797,1.324648771,103.8355514,103.8355514,CENTRAL
TAMPINES MERIDIAN JUNIOR COLLEGE,21,PASIR RIS STREET 71,TAMPINES MERIDIAN JUNIOR COLLEGE,21 PASIR RIS STREET 71 TAMPINES MERIDIAN JUNIOR COLLEGE SINGAPORE 518799,518799,39600.03012,39858.89672,1.376741929,103.9375533,103.9375533,EAST
TEMASEK JUNIOR COLLEGE,22,BEDOK SOUTH ROAD,TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD TEMASEK JUNIOR COLLEGE SINGAPORE 469278,469278,39382.70158,33414.56981,1.318461906,103.935598,103.935598,EAST
NANYANG JUNIOR COLLEGE,128,SERANGOON AVENUE 3,NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3 NANYANG JUNIOR COLLEGE SINGAPORE 556111,556111,31692.578,36932.99137,1.350283149,103.8664987,103.8664987,NORTH-EAST
HWA CHONG INSTITUTION,661,BUKIT TIMAH ROAD,HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD HWA CHONG INSTITUTION SINGAPORE 269734,269734,24929.49999,34125.45001,1.324892814,103.8057285,103.8057285,CENTRAL
RAFFLES INSTITUTION,1,RAFFLES INSTITUTION LANE,RAFFLES INSTITUTION,1 RAFFLES INSTITUTION LANE RAFFLES INSTITUTION SINGAPORE 575954,575954,29409.39673,36432.94327,1.345761087,103.8459829,103.8459829,CENTRAL
SAINT JOSEPH'S INSTITUTION,38,MALCOLM ROAD,SAINT JOSEPH'S INSTITUTION,38 MALCOLM ROAD SAINT JOSEPH'S INSTITUTION SINGAPORE 308274,308274,27471.14187,33988.62964,1.323655609,103.8285665,103.8285665,CENTRAL
DUNMAN HIGH SCHOOL,10,TANJONG RHU ROAD,DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD DUNMAN HIGH SCHOOL SINGAPORE 436895,436895,33513.71157,31276.24815,1.299125304,103.8828617,103.8828617,CENTRAL
MILLENNIA INSTITUTE,60,BUKIT BATOK WEST AVENUE 8,MILLENNIA INSTITUTE,60 BUKIT BATOK WEST AVENUE 8 MILLENNIA INSTITUTE SINGAPORE 658965,658965,17792.02909,36937.1557,1.350319296,103.7415936,103.7415936,WEST
