SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
EUNOIA JUNIOR COLLEGE,2,SIN MING PLACE,EUNOIA JUNIOR COLLEGE,2 SIN MING PLACE EUNOIA JUNIOR COLLEGE SINGAPORE 573838,573838,28797.428410000004,38278.79128,1.3624543009999999,103.840484,103.840484
NATIONAL JUNIOR COLLEGE,37,HILLCREST ROAD,NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD NATIONAL JUNIOR COLLEGE SINGAPORE 288913,288913,24788.19464,34737.71738,1.330429928,103.80445870000001,103.80445870000001
NATIONAL JUNIOR COLLEGE BOARDING SCHOOL,41,HILLCREST ROAD,NATIONAL JUNIOR COLLEGE BOARDING SCHOOL,41 HILLCREST ROAD NATIONAL JUNIOR COLLEGE BOARDING SCHOOL SINGAPORE 288916,288916,24804.97233,34906.69109,1.331958068,103.8046095,103.8046095
VICTORIA JUNIOR COLLEGE,20,MARINE VISTA,VICTORIA JUNIOR COLLEGE,20 MARINE VISTA VICTORIA JUNIOR COLLEGE SINGAPORE 449035,449035,37594.654819999996,32005.34113,1.305717965,103.919531,103.919531
YISHUN INNOVA JUNIOR COLLEGE,3,YISHUN RING ROAD,YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD YISHUN INNOVA JUNIOR COLLEGE SINGAPORE 768675,768675,27590.000519999998,45152.63065,1.424618845,103.8296344,103.8296344
ANGLO-CHINESE JUNIOR COLLEGE,25,DOVER CLOSE EAST,ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST ANGLO-CHINESE JUNIOR COLLEGE SINGAPORE 139745,139745,22651.84865,31736.52963,1.303287954,103.785263,103.785263
EUNOIA JUNIOR COLLEGE,191,SIN MING AVENUE,EUNOIA JUNIOR COLLEGE,191 SIN MING AVENUE EUNOIA JUNIOR COLLEGE SINGAPORE 575738,575738,28886.6991,38243.7692,1.362137572,103.84128620000001,103.84128620000001
JURONG PIONEER JUNIOR COLLEGE,21,TECK WHYE WALK,JURONG PIONEER JUNIOR COLLEGE,21 TECK WHYE WALK JURONG PIONEER JUNIOR COLLEGE SINGAPORE 688258,688258,19165.37556,40728.746230000004,1.384609491,103.7539328,103.7539328
SAINT ANDREW'S JUNIOR COLLEGE,5,SORBY ADAMS DRIVE,SAINT ANDREW'S JUNIOR COLLEGE,5 SORBY ADAMS DRIVE SAINT ANDREW'S JUNIOR COLLEGE SINGAPORE 357691,357691,31356.79431,34998.56084,1.332788888,103.86348129999999,103.86348129999999
DBS RAFFLES JUNIOR COLLEGE,10,BISHAN STREET 21,DBS RAFFLES JUNIOR COLLEGE,10 BISHAN STREET 21 DBS RAFFLES JUNIOR COLLEGE SINGAPORE 574013,574013,28918.60059,36471.7188,1.346111778,103.8415728,103.8415728
